title,filename,latest_version,previous_version,updated
App for External Attack Surface Management (EASM),app-for-external-attack-surface-management-easm.json,1.1.2,1.1.1,1970-01-01 00:00:00
Config Explorer,config-explorer.json,1.8.26,1.8.25,1970-01-01 00:00:00
Crypto and Encoding Add-On,crypto-and-encoding-add-on.json,2.4.3,2.4.2,1970-01-01 00:00:00
Eventgen,eventgen.json,8.2.2,8.2.1,1970-01-01 00:00:00
InfoSec App for Splunk,infosec-app-for-splunk.json,1.7.1,1.7.0,1970-01-01 00:00:00
MITRE ATTACK App for Splunk,mitre-attack-app-for-splunk.json,3.14.1,3.14.0,2025-11-07 09:39:58
MITRE Framework App for Splunk,mitre-framework-app-for-splunk.json,3.15.0,3.14.1,1970-01-01 00:00:00
SA-DetectionInsights,sa-detectioninsights.json,1.3.1,1.3.0,1970-01-01 00:00:00
Splunk Add-on Builder,splunk-add-on-builder.json,4.5.1,4.5.0,1970-01-01 00:00:00
Splunk Add-on for Apache Web Server,splunk-add-on-for-apache-web-server.json,3.0.0,N/A,1970-01-01 00:00:00
Splunk Add-on for Microsoft Windows,splunk-add-on-for-microsoft-windows.json,10.0.1,10.0.0,1970-01-01 00:00:00
Splunk Add-on for NGINX,splunk-add-on-for-nginx.json,3.3.0,3.0.0,1970-01-01 00:00:00
Splunk Add-on for Unix and Linux,splunk-add-on-for-unix-and-linux.json,10.2.0,10.1.0,1970-01-01 00:00:00
Splunk App for Anomaly Detection,splunk-app-for-anomaly-detection.json,1.1.2,1.1.1,1970-01-01 00:00:00
Splunk App for Lookup File Editing,splunk-app-for-lookup-file-editing.json,4.0.7,4.0.6,1970-01-01 00:00:00
Splunk App for Splunk Attack Analyzer,splunk-app-for-splunk-attack-analyzer.json,1.2.1,1.2.0,1970-01-01 00:00:00
Splunk Common Information Model (CIM),splunk-common-information-model-cim.json,8.5.0,6.4.0,1970-01-01 00:00:00
Splunk Connect for Syslog,splunk-connect-for-syslog.json,N/A,N/A,1970-01-01 00:00:00
Splunk Dashboard Examples,splunk-dashboard-examples.json,8.2.6,8.2.5,1970-01-01 00:00:00
Splunk Enterprise Security,splunk-enterprise-security.json,8.5.1,8.4.1,1970-01-01 00:00:00
Splunk ES Content Update,splunk-es-content-update.json,6.1.0,6.0.0,1970-01-01 00:00:00
Splunk Security Essentials,splunk-security-essentials.json,3.8.3,3.8.2,1970-01-01 00:00:00
Splunk Supporting Add-on for Active Directory,splunk-supporting-add-on-for-active-directory.json,3.2.0,3.1.1,1970-01-01 00:00:00
Stamus Networks App for Splunk,stamus-networks-app-for-splunk.json,1.0.4,1.0.3,1970-01-01 00:00:00
TA - Common Visualization Collection,ta-common-visualization-collection.json,N/A,N/A,1970-01-01 00:00:00
TA - Custom Login Page,ta-custom-login-page.json,N/A,N/A,1970-01-01 00:00:00
TheHive/Cortex,thehivecortex.json,4.1.0,4.0.0,1970-01-01 00:00:00
ThreatQuotient App for Splunk,threatquotient-app-for-splunk.json,3.2.0,3.1.0,1970-01-01 00:00:00
